"customer_id","year","quarter","how_likely_are_you_to_recommend_insider_to_a_friend_or_colleague","how_would_you_rate_the_value_you_gain_from_our_company","please_rate_the_overall_quality_of_our_products","please_rate_the_usability_of_the_panel","customer_age_months","mrr_num","total_revenue_num","help_ticket_count","help_ticket_lead_time_hours","company_newsletter_interaction_count","product_bug_task_count","region","vertical","subvertical","status","customer_level","log_mrr","log_total_revenue","revenue_per_ticket","tickets_per_month","mrr_per_month","avg_satisfaction","satisfaction_sd","lead_time_per_ticket","high_support","engaged_newsletter","bugs_per_month","low_value_high_pain","mature_unhappy_customer"
"CUS-1002400",2022,1.75,9,4,3.75,3,39,6716,279868,55,701,0,175,"CEE","Retail","Cosmetics","Retained","Enterprise",8.81239690526686,12.5420769155292,4997.64285714286,1.41025641025641,7176.10256410256,4.9375,2.74146402493266,12.5178571428571,1,0,4.48717948717949,0,1
"CUS-1002400",2022,1.75,9,4,3.75,3,39,6716,279868,55,701,0,72,"CEE","Retail","Cosmetics","Retained","Enterprise",8.81239690526686,12.5420769155292,4997.64285714286,1.41025641025641,7176.10256410256,4.9375,2.74146402493266,12.5178571428571,1,0,1.84615384615385,0,1
"CUS-1002400",2022,1.75,9,4,3.75,3,39,6716,279868,55,701,0,160,"CEE","Retail","Cosmetics","Retained","Enterprise",8.81239690526686,12.5420769155292,4997.64285714286,1.41025641025641,7176.10256410256,4.9375,2.74146402493266,12.5178571428571,1,0,4.1025641025641,0,1
"CUS-1002400",2022,1.75,9,4,3.75,3,39,6716,279868,55,701,0,159,"CEE","Retail","Cosmetics","Retained","Enterprise",8.81239690526686,12.5420769155292,4997.64285714286,1.41025641025641,7176.10256410256,4.9375,2.74146402493266,12.5178571428571,1,0,4.07692307692308,0,1
"CUS-1019500",2022,1.5,8.5,4.25,4.25,4.5,36,7744,11020483,34,372,5,165,"Vietnam","Travel","Airlines and Airports","Retained","Enterprise",8.95480275285097,16.2152662808698,314870.942857143,0.944444444444444,306124.527777778,5.375,2.08666400425815,10.6285714285714,1,1,4.58333333333333,0,0
"CUS-1019500",2022,1.5,8.5,4.25,4.25,4.5,36,7744,11020483,34,372,5,186,"Vietnam","Travel","Airlines and Airports","Retained","Enterprise",8.95480275285097,16.2152662808698,314870.942857143,0.944444444444444,306124.527777778,5.375,2.08666400425815,10.6285714285714,1,1,5.16666666666667,0,0
"CUS-1019500",2022,1.5,8.5,4.25,4.25,4.5,36,7744,11020483,34,372,5,183,"Vietnam","Travel","Airlines and Airports","Retained","Enterprise",8.95480275285097,16.2152662808698,314870.942857143,0.944444444444444,306124.527777778,5.375,2.08666400425815,10.6285714285714,1,1,5.08333333333333,0,0
"CUS-1025800",2022,2,7.5,4,4,4,39,2300,135017,9,965,0,179,"MENA","Retail","Consumer Electronics","Retained","Semi-Enterprise",7.74109909003537,11.8131633818658,13501.7,0.230769230769231,3461.97435897436,4.875,1.75,96.5,0,0,4.58974358974359,0,1
"CUS-1025800",2022,2,7.5,4,4,4,39,2300,135017,9,965,0,154,"MENA","Retail","Consumer Electronics","Retained","Semi-Enterprise",7.74109909003537,11.8131633818658,13501.7,0.230769230769231,3461.97435897436,4.875,1.75,96.5,0,0,3.94871794871795,0,1
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,193,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,8.04166666666667,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,157,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,6.54166666666667,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,158,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,6.58333333333333,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,179,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,7.45833333333333,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,166,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,6.91666666666667,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,167,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,6.95833333333333,0,0
"CUS-1030400",2022,1.71,8.14,4.14,4,3.86,24,1761,4077,2,202,0,188,"Australia","Retail","Marketplace","Retained","Enterprise",7.47420480649612,8.3133619511344,1359,0.0833333333333333,169.875,5.035,2.07315379715704,67.3333333333333,0,0,7.83333333333333,0,0
"CUS-1068750",2022,1.5,9,5,4.5,3.5,36,5571,7045718,1,3922,0,186,"Korea","Retail","Cosmetics","Retained","Enterprise",8.6255093348997,15.7679307563046,3522859,0.0277777777777778,195714.388888889,5.5,2.41522945769824,1961,0,0,5.16666666666667,0,0
"CUS-1082550",2022,2.2,7.6,4,3.6,3.6,35,6250,124855,32,300,0,81,"Malaysia","Retail","Fashion Retailer","Retained","Enterprise",8.74049672993181,11.7349163522224,3783.48484848485,0.914285714285714,3567.28571428571,4.7,1.94250697124446,9.09090909090909,1,0,2.31428571428571,0,1
"CUS-1082550",2022,2.2,7.6,4,3.6,3.6,35,6250,124855,32,300,0,185,"Malaysia","Retail","Fashion Retailer","Retained","Enterprise",8.74049672993181,11.7349163522224,3783.48484848485,0.914285714285714,3567.28571428571,4.7,1.94250697124446,9.09090909090909,1,0,5.28571428571429,0,1
"CUS-1082550",2022,2.2,7.6,4,3.6,3.6,35,6250,124855,32,300,0,65,"Malaysia","Retail","Fashion Retailer","Retained","Enterprise",8.74049672993181,11.7349163522224,3783.48484848485,0.914285714285714,3567.28571428571,4.7,1.94250697124446,9.09090909090909,1,0,1.85714285714286,0,1
"CUS-1086200",2022,2,6,4,3,2,30,9256,0,29,659,0,96,"Korea","Retail","Cosmetics","Retained","Enterprise",9.13313530106721,0,0,0.966666666666667,0,3.75,1.70782512765993,21.9666666666667,1,0,3.2,0,1
"CUS-1091150",2022,1.5,6.5,3.5,3.5,4.5,36,4737,2938221,67,557,0,63,"Benelux","Retail","Marketplace","Retained","Enterprise",8.46337038471873,14.8933151944679,43209.1323529412,1.86111111111111,81617.25,4.5,1.4142135623731,8.19117647058824,1,0,1.75,0,1
